%Szakasz_index	x_coord	mesh_density
372	-0.14383869792522497	90324.24362983578
373	-0.14382763280654062	90423.98565547256
374	-0.1438165798774455	90523.57934503586
375	-0.1438055390930636	90623.02524159223
376	-0.14379451040879196	90722.32388605937
377	-0.1437834937802986	90821.47581520534
378	-0.1437724891635201	90920.4815635241
379	-0.14376149651465936	91019.34166099879
380	-0.14375051579018328	91118.05663567709
381	-0.14373954694682065	91216.62701166338
382	-0.1437285899415599	91315.05331009558
383	-0.14371764473164694	91413.33604897681
384	-0.14370671127458295	91511.47574323947
385	-0.1436957895281223	91609.47290504482
386	-0.14368487945027048	91707.32804292132
387	-0.14367398099928191	91805.04166299902
388	-0.14366309413365802	91902.61426768299
389	-0.14365221881214507	92000.04635736569
390	-0.14364135499373226	92097.33842839609
391	-0.14363050263764962	92194.49097527144
392	-0.1436196617033661	92291.5044888395
393	-0.14360883215058762	92388.37945732255
394	-0.1435980139392551	92485.11636616924
395	-0.14358720702954256	92581.715698144
396	-0.14357641138185523	92678.17793270411
397	-0.14356562695682773	92774.50354680394
398	-0.14355485371532203	92870.69301499274
399	-0.1435440916184259	92966.7468085557
400	-0.14353334062745088	93062.66539632861
401	-0.14352260070393047	93158.44924431965
402	-0.14351187180961855	93254.09881605241
403	-0.14350115390648738	93349.6145721889
404	-0.14349044695672603	93444.99697087651
405	-0.14347975092273862	93540.24646785793
406	-0.1434690657671425	93635.36351585378
407	-0.14345839145276673	93730.34856540224
408	-0.14344772794265026	93825.20206448859
409	-0.14343707520004045	93919.92445792696
410	-0.14342643318839116	94014.51618918905
411	-0.1434158018713614	94108.97769807758
412	-0.1434051812128136	94203.30942280655
413	-0.143394571176812	94297.51179865265
414	-0.14338397172762113	94391.58525857018
415	-0.1433733828297042	94485.53023331908
416	-0.14336280444772162	94579.34715085082
417	-0.14335223654652943	94673.0364374299
418	-0.1433416790911778	94766.5985160277
419	-0.1433311320469095	94860.03380819548
420	-0.14332059537915848	94953.342732457
421	-0.14331006905354837	95046.52570569233
422	-0.14329955303589104	95139.58314177583
423	-0.14328904729218506	95232.51545296787
424	-0.14327855178861448	95325.32304880225
425	-0.14326806649154722	95418.00633698319
426	-0.14325759136753377	95510.56572277486
427	-0.14324712638330583	95603.00160914588
428	-0.14323667150577485	95695.31439717094
429	-0.14322622670203078	95787.50448567401
430	-0.1432157919393406	95879.57227112385
431	-0.1432053671851471	95971.51814804043
432	-0.14319495240706753	96063.34250889509
433	-0.14318454757289226	96155.04574375383
434	-0.14317415265058353	96246.62824120303
435	-0.14316376760827412	96338.09038696863
436	-0.14315339241426617	96429.43256535924
437	-0.14314302703702986	96520.65515839972
438	-0.14313267144520214	96611.75854625108
439	-0.14312232560758553	96702.74310659799
440	-0.14311198949314696	96793.60921559054
441	-0.1431016630710164	96884.35724749489
442	-0.14309134631048592	96974.98757408002
443	-0.1430810391810082	97065.50056582896
444	-0.14307074165219558	97155.89659080659
445	-0.1430604536938188	97246.17601509058
446	-0.1430501752758059	97336.33920320806
447	-0.143039906368241	97426.3865180511
448	-0.1430296469413632	97516.31831947247
449	-0.1430193969655655	97606.13496683296
450	-0.14300915641139372	97695.83681680953
451	-0.14299892524954522	97785.4242243647
452	-0.14298870345086798	97874.89754292986
453	-0.1429784909863595	97964.25712405873
454	-0.14296828782716572	98053.50331681097
455	-0.14295809394457984	98142.6364698031
456	-0.14294790931004142	98231.65692846206
457	-0.1429377338951353	98320.5650373472
458	-0.14292756767159057	98409.36113900425
459	-0.14291741061127944	98498.04557442301
460	-0.14290726268621642	98586.61868269181
461	-0.14289712386855719	98675.08080091889
462	-0.14288699413059758	98763.43226496606
463	-0.14287687344477268	98851.67340883502
464	-0.14286676178365582	98939.80456513433
465	-0.1428566591199576	99027.82606419138
466	-0.14284656542652485	99115.73823506426
467	-0.14283648067633992	99203.54140519924
468	-0.1428264048425194	99291.23590035911
469	-0.1428163378983135	99378.82204482537
470	-0.1428062798171049	99466.30016077963
471	-0.14279623057240795	99553.67056960454
472	-0.14278619013786775	99640.93359044366
473	-0.14277615848725925	99728.08954095498
474	-0.14276613559448625	99815.13873752016
475	-0.14275612143358063	99902.08149462542
476	-0.14274611597870152	99988.91812562419
477	-0.1427361192041343	100075.64894211828
478	-0.14272613108428972	100162.27425389035
479	-0.14271615159370327	100248.79436995198
480	-0.14270618070703409	100335.20959708828
481	-0.1426962183990642	100421.52024090744
482	-0.14268626464469775	100507.72660549956
483	-0.14267631941896006	100593.82899365437
484	-0.14266638269699697	100679.82770651915
485	-0.14265645445407388	100765.7230435354
486	-0.14264653466557495	100851.51530322246
487	-0.14263662330700244	100937.20478255571
488	-0.14262672035397583	101022.79177662235
489	-0.14261682578223098	101108.27657997652
490	-0.14260693956761944	101193.6594845982
491	-0.14259706168610767	101278.94078238719
492	-0.14258719211377624	101364.12076254949
493	-0.14257733082681912	101449.19971409976
494	-0.14256747780154283	101534.17792381135
495	-0.1425576330143659	101619.05567787224
496	-0.14254779644181786	101703.83326011279
497	-0.14253796806053876	101788.51095395497
498	-0.14252814784727824	101873.08904121288
499	-0.142518335778895	101957.56780203585
500	-0.14250853183235593	102041.94751571861
501	-0.14249873598473545	102126.22846007254
502	-0.14248894821321487	102210.41091166096
503	-0.14247916849508163	102294.49514574693
504	-0.14246939680772863	102378.48143594993
505	-0.14245963312865353	102462.37005535676
506	-0.14244987743545812	102546.16127530872
507	-0.14244012970584757	102629.85536593151
508	-0.14243038991762985	102713.45259608506
509	-0.142420658048715	102796.95323360668
510	-0.1424109340771145	102880.3575449694
511	-0.14240121798094063	102963.66579493757
512	-0.14239150973840575	103046.87824828237
513	-0.14238180932782188	103129.99516738189
514	-0.14237211672759975	103213.01681393752
515	-0.14236243191624837	103295.94344863461
516	-0.14235275487237445	103378.77533020683
517	-0.14234308557468156	103461.51271716582
518	-0.1423334240019698	103544.15586627477
519	-0.14232377013313488	103626.70503339179
520	-0.14231412394716783	103709.16047312801
521	-0.14230448542315416	103791.52243880159
522	-0.1422948545402734	103873.79118269126
523	-0.1422852312777984	103955.96695599261
524	-0.14227561561509489	104038.05000877452
525	-0.14226600753162078	104120.04059023621
526	-0.14225640700692557	104201.93894806325
527	-0.14224681402064998	104283.74532898502
528	-0.14223722855252507	104365.45997843091
529	-0.14222765058237197	104447.08314139489
530	-0.14221808009010117	104528.61506088235
531	-0.1422085170557119	104610.05597968385
532	-0.14219896145929184	104691.40613851539
533	-0.14218941328101622	104772.6657784071
534	-0.14217987250114766	104853.83513792702
535	-0.1421703391000353	104934.91445557491
536	-0.14216081305811448	105015.90396821951
537	-0.14215129435590618	105096.80391228071
538	-0.14214178297401636	105177.61452246654
539	-0.14213227889313568	105258.33603295914
540	-0.14212278209403872	105338.96867676395
541	-0.14211329255758368	105419.51268567018
542	-0.14210381026471175	105499.9682908291
543	-0.1420943351964467	105580.33572240967
544	-0.1420848673338943	105660.61520894163
545	-0.14207540665824187	105740.80697882513
546	-0.14206595315075765	105820.91125874638
547	-0.14205650679279064	105900.92827488072
548	-0.1420470675657698	105980.85825254818
549	-0.14203763545120365	106060.70141555391
550	-0.14202821043067992	106140.4579870865
551	-0.14201879248586488	106220.12818937203
552	-0.14200938159850307	106299.71224363885
553	-0.14199997775041664	106379.21037039654
